Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-09-01 13:44:11,2025-09-02 07:08:36,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,69.06
Paiement par carte,Valeur actuelle,2025-09-01 16:13:55,2025-09-02 07:08:37,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,66.76
Paiement par carte,Valeur actuelle,2025-09-02 06:28:12,2025-09-03 06:37:33,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,60.16
Paiement par carte,Valeur actuelle,2025-09-02 13:45:30,2025-09-03 06:37:33,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,53.56
Paiement par carte,Valeur actuelle,2025-09-02 16:14:24,2025-09-03 06:37:33,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,51.26
Paiement par carte,Valeur actuelle,2025-09-02 21:55:18,2025-09-03 06:37:33,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,44.66
Paiement par carte,Valeur actuelle,2025-09-02 06:30:57,2025-09-03 06:37:35,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,42.36
Paiement par carte,Valeur actuelle,2025-09-03 16:22:18,2025-09-04 06:40:46,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,40.06
Paiement par carte,Valeur actuelle,2025-09-03 06:53:58,2025-09-04 06:40:49,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,37.76
Paiement par carte,Valeur actuelle,2025-09-03 12:46:50,2025-09-04 06:40:49,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,31.16
Paiement par carte,Valeur actuelle,2025-09-04 23:26:10,2025-09-06 06:21:59,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,24.56
Paiement par carte,Valeur actuelle,2025-09-05 06:55:11,2025-09-06 06:22:00,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,22.26
Paiement par carte,Valeur actuelle,2025-09-05 14:17:10,2025-09-06 06:22:01,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,11.26
Paiement par carte,Valeur actuelle,2025-09-05 14:46:04,2025-09-06 06:22:01,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,8.96
Paiement par carte,Valeur actuelle,2025-09-05 21:33:50,2025-09-06 06:22:01,SBB CFF FFS,-8.00,0.00,CHF,TERMINÉ,0.96
Changes,Valeur actuelle,2025-09-11 12:49:07,2025-09-11 12:49:07,Change en CHF,93.02,0.00,CHF,TERMINÉ,93.98
Paiement par carte,Valeur actuelle,2025-09-12 19:00:00,2025-09-13 06:13:43,SBB CFF FFS,-13.50,0.00,CHF,TERMINÉ,80.48
Paiement par carte,Valeur actuelle,2025-09-17 17:27:37,2025-09-18 15:03:53,Tamoil,-11.10,0.00,CHF,TERMINÉ,69.38
Paiement par carte,Valeur actuelle,2025-09-17 20:17:18,2025-09-19 07:03:35,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,67.08
Paiement par carte,Valeur actuelle,2025-09-17 20:19:37,2025-09-19 07:03:35,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,60.48
Paiement par carte,Valeur actuelle,2025-09-18 14:46:20,2025-09-19 07:03:36,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,53.88
